[76.89999999999999, 17.0, 59.19999999999999, 74.1, 119.4, 10.1, -60.2, 12.549999999999997, -100, 55.8] mean reward: 26.485000
[35.69999999999999, 129.8, 135.0, -100, -4.95, 1.299999999999999, 70.69999999999999, -48.55, -19.85, 85.64999999999999] mean reward: 28.480000
[67.39999999999999, 107.6, -7.15, 7.099999999999998, 10.2, -67.60000000000001, -2.0500000000000003, 3.599999999999998, 74.95, 1.75] mean reward: 19.580000
[-100, -100, -13.100000000000001, -6.300000000000001, -8.450000000000001, -11.25, -2.4000000000000004, -10.850000000000001, 19.69999999999999, 105.1] mean reward: -12.755000
[-2.0500000000000007, 54.44999999999999, -4.800000000000001, 1.4499999999999993, -100, 14.95, -5.75, 119.9, -17.25, 131.45] mean reward: 19.235000
[99.0, -12.600000000000001, 32.5, 93.19999999999999, 77.05, 106.1, 87.0, 13.399999999999999, -2.3500000000000014, -20.85] mean reward: 47.245000
[74.95, -20.6, -100, -11.700000000000001, 98.4, -100, 111.94999999999999, 132.45, 122.75, 129.05] mean reward: 43.725000
[-12.5, 65.44999999999999, -8.700000000000003, 85.95, -100, -0.75, 140.2, -27.450000000000003, 106.55, -23.1] mean reward: 22.565000
[-34.1, 119.85, -100, 87.0, 8.799999999999997, -24.5, -12.350000000000001, -40.050000000000004, -100, -15.15] mean reward: -11.050000
[-10.900000000000006, 36.849999999999994, 108.35, 14.95, -7.3500000000000005, -9.55, 39.25, -38.150000000000006, -3.1500000000000004, -2.0500000000000003] mean reward: 12.825000
[-5.5, -100, -2.6500000000000004, -26.700000000000003, -66.60000000000001, -7.0, -8.700000000000003, -100, 121.65, 18.400000000000006] mean reward: -17.710000
[-16.1, -31.650000000000006, 101.05, -4.1000000000000005, -100, 57.75, 118.55, 97.15, 123.1, -0.55] mean reward: 34.520000
[10.6, -7.2, -70.0, -1.5500000000000007, -15.8, -6.6000000000000005, -4.199999999999999, 47.14999999999999, 1.1499999999999986, 12.799999999999997] mean reward: -3.365000
